Date,newCases,newDeaths
31/03/2014,46,25
7/4/2014,49,32
14/04/2014,29,18
21/04/2014,23,16
28/04/2014,14,14
5/5/2014,14,12
12/5/2014,17,20
19/05/2014,6,2
26/05/2014,33,12
2/6/2014,55,12
9/6/2014,113,40
16/06/2014,48,68
23/06/2014,72,22
30/06/2014,147,107
7/7/2014,99,67
14/07/2014,116,78
21/07/2014,180,74
28/07/2014,233,97
4/8/2014,349,171
11/8/2014,264,137
18/08/2014,498,281
25/08/2014,520,181
1/9/2014,765,368
8/9/2014,768,344
15/09/2014,954,396
22/09/2014,939,357
29/09/2014,873,341
6/10/2014,903,590
13/10/2014,941,630
20/10/2014,1186,350
27/10/2014,1936,150
3/11/2014,849,176
10/11/2014,1119,251
17/11/2014,990,267
24/11/2014,901,303
1/12/2014,1130,397
8/12/2014,805,404
15/12/2014,665,475
22/12/2014,871,298
29/12/2014,662,310
5/1/2015,552,317
12/1/2015,520,189
19/01/2015,420,206
26/01/2015,373,169
2/2/2015,406,178
9/2/2015,382,197
16/02/2015,383,203
23/02/2015,442,221
2/3/2015,256,200
9/3/2015,353,187
16/03/2015,384,203
