Centre Id,Center,Type,Activity,Org,Lat,Long
UN144,Cavalla New Town Clinic,Clinic,null,GOL,4.36374,-7.58868
UN147,Thomson Street Community Clinic,null,null,null,4.374998,-7.715778
"UN140|J.J. Dossen Memorial Hospital|Hosp|null|GOL,Merlin|4.377612|-7.710367",,,,,,
UN142,Bassa Community Clinic,null,null,null,4.377619,-7.714782
LR27-000014,Sacred Heart,Clinic,null,Faith Based Organization,4.37978,-7.7084
UN143,Pullah Community Clinic,Clinic,null,Merlin,4.390178,-7.606724
UN149,Rock Town Clinic,Clinic,null,Merci,4.399526,-7.779714
UN145,Fish Town Clinic,Clinic,null,MERCI,4.42428,-7.818063
UN141,Doukudi Clinic,null,null,null,4.437993,-7.545362
LR27-000023,Yookudi,Clinic,null,Merlin,4.4452,-7.60098
UN146,LWRC Clinic,null,null,null,4.449486,-7.74564
UN158,Barriken Clinic,Clinic,null,MERCI,4.492934,-7.662765
LR18-000016,Willsonville,Clinic,null,MOHSW only,4.50082,-7.8635
LISGIS252,Old Sodoken,Clinic,null,GOL,4.520348,-7.705999
LR27-000021,Sodoken,Clinic,null,Merlin,4.52408,-7.7041
LR27-000024,Gboloke,Clinic,null,MERCI (GOL?),4.53304,-7.64229
UN155,Gbloken Clinic,null,null,null,4.533324,-7.642503
LISGIS258,C.R.P. Medical Center,HC,null,NFP,4.5335,-7.6451
LR27-000007,St. Francis,Clinic,null,Faith Based Organization,4.55303,-7.67081
UN152,Division 5 CRC Camp 8 Clinic,null,null,null,4.565617,-7.598281
UN168,Grand Cess City Clinic,Clinic,null,null,4.56928,-8.222913
UN151,Division 3 New Camp Clinic,null,null,null,4.569362,-7.664967
UN154,Factory Camp Clinic,null,null,null,4.570321,-7.694708
UN156,Gedetarbo Clinic,null,null,null,4.572028,-7.639727
UN157,Cavalla Medical Center,Clinic,null,Merlin,4.573607,-7.661985
LR18-000001,Rally Time Hospital,Hospital,null,Merlin,4.57507,-8.22184
UN153,CRC Hospital,null,null,null,4.576565,-7.64783
UN150,CRC Clinic,null,null,null,4.576581,-7.655941
LR27-000006,Plebo Health Center,Health Center,null,MERCI,4.58534,-7.6719
LR18-000009,Genoyah,Clinic,null,MOHSW only (GOL?),4.58895,-7.9242
LR18-000006,Juduken,Clinic,null,MOHSW only,4.599644,-8.048344
UN167,Grand Cess Clinic,Clinic,null,null,4.610844,-8.181399
LR18-000011,Picnicess,Clinic,null,MOHSW only,4.6275,-8.3125
UN164,Wlowen Clinic,null,null,null,4.631108,-7.801862
"UN173|Behwan City Clinic|Health Center|null|GOL, Merlin|4.637913|-7.869818",,,,,,
UN163,Boniken Clinic,Clinic,null,Merlin,4.641476,-7.681508
LR27-000022,Rock Town Kunokudi,Clinic,null,Merlin,4.6451,-7.61716
STF051,Barclayville Central High School,ETC,Ebola Holding Center,US GOV,4.67252,-8.23304
LR18-000002,Barclayville Health Center,Health Center,null,Merlin,4.67252,-8.23304
LR18-000013,Sass Town Health Center,Health Center,null,Merlin,4.67399,-8.4261
UN159,Yediaken Clinic,null,null,null,4.676264,-7.664226
LR18-000007,Gbanken,Clinic,null,MOHSW only,4.68207,-8.11234
UN162,Gbalay Clinic,null,null,null,4.685121,-7.661145
UN174,Newaken Clinic,Clinic,null,NFP/Merlin,4.694639,-7.936079
UN170,Gballah Clinic,null,null,null,4.7039,-8.1573
UN169,Henriesville City Clinic,null,null,null,4.7086,-7.257292
LR18-000014,Filoken Clinic,Clinic,null,MOHSW only,4.71047,-8.15854
UN161,Manolu 2 Clinic,Clinic,null,NFP,4.717793,-7.72058
UN160,Manolu 1 Clinic,Clinic,null,MERCI,4.719509,-7.719224
UN172,Bleebo Clinic,null,null,null,4.72994,-7.952253
LR18-000004,Gblebo Health,Clinic,null,MSF-B,4.73258,-7.95566
LR18-000015,Niful,Clinic,null,Merlin,4.74719,-8.54097
LR27-000015,Pougbaken Clinic,Clinic,null,Merlin,4.7556,-7.759
LISGIS457,Kizito Kanweakan,Clinic,null,NFP,4.7604,-8.0916
LR27-000010,Karloken,Health Center,null,MERCI,4.799023,-7.736891
UN180,Nyaaken Town Clinic,null,null,null,4.851952,-7.59906
UN179,Kronoken City Clinic,null,null,null,4.875418,-7.619479
LR42-000003,Jimmyville Clinic,Clinic,null,MERCI,4.88052,-7.62165
UN181,Webo Chara Clinic,null,null,null,4.883103,-7.618381
LR18-000003,Nyankupo,Clinic,null,Merlin,4.88531,-8.38198
LISGIS417,Edward Memorial,Clinic,null,GOL,4.8992,-8.8458
LR39-000002,Edward Memorial,Clinic,null,MOHSW only,4.8999,-8.8432
LR42-000001,Nyenebo,Clinic,null,MERCI,4.90398,-7.81728
LR39-000026,Menweh Walker,Clinic,null,MOHSW only,4.94339,-8.72355
UN165,Glofaken Clinic,Clinic,null,Merlin,4.949644,-7.895098
UN166,Gee Tubaken Clinic,null,null,null,4.950943,-8.163859
LR18-000017,Buah HC,Health Center,null,Merlin,4.9543,-8.16149
LISGIS454,Tuobo Clinic,Clinic,null,GOL,4.958156,-7.6253
UN178,Charles Williams Clinic,null,null,null,4.95818,-7.623637
UN126,Karquekpo Clinic,Clinic,null,Merlin,4.98485,-8.649099
UN135,KABADA CLINIC,Clinic,null,MOHSW,4.989448,-8.841236
"LR27-000013|Gbawiliken|Clinic|null|MERCI,GOL|4.99046|-7.84942",,,,,,
UN137,PANAMA CLINIC,null,null,GOL,4.991274,-8.939561
UN132,Kwitatuzon Clinic,Clinic,null,MOHSW,4.992147,-8.788915
